customer_id,transaction_id,transaction_amount,region,transaction_mode,transaction_date,is_fraudulent
1099,89bade83-7dcf-496e-bb48-fbfa911806bd,13947.33,Eastern Europe,Cryptocurrency,2024-10-10 02:16:14,True
1082,d14e5518-1832-46ba-aef5-77b080d222f2,4963.91,Sub-Saharan Africa,UPI,2024-03-27 22:05:54,False
1582,bd0df6b8-f17f-4bfa-9401-470cd70052ae,13078.61,Central Asia,Debit Card,2024-02-06 22:56:32,False
1456,bd6c2520-d0f7-42ca-bf0d-dc8ce6c22816,17365.43,Central Asia,Mobile Wallet,2025-01-23 18:09:00,True
1424,e531c240-9ee1-44c0-954a-8d4ae5e2635a,4817.87,Balkans,UPI,2025-04-10 22:01:36,False
262,c3a60ecd-4ed1-4314-99c4-962c8a3b9d56,4592.2,South Asia,Online Banking,2023-12-07 00:48:36,False
798,c05fcc6d-dc31-4ebe-8692-b1bbbe3b8dee,4094.11,Central Asia,Online Banking,2024-03-15 14:10:48,False
1509,aff54185-df84-4e4e-8e06-484c53a48059,31344.26,Scandinavia,Mobile Wallet,2024-03-23 17:37:29,True
653,596a985b-bece-4a9d-b7f9-00920a5eebda,30289.28,Eastern Europe,Bank Transfer,2023-08-15 05:41:42,False
275,0867a05c-eb54-4b16-a545-3244816cc295,4588.23,Central Asia,Credit Card,2024-03-16 08:19:45,False
359,9548907b-32a7-467d-8a4a-100d5d30327a,4585.63,Central America,Debit Card,2023-12-03 03:21:56,False
551,394979ed-0f69-40cf-9ba6-76bce81b6705,4104.47,Caribbean,Debit Card,2024-01-13 08:17:29,False
452,295cece8-7925-44d2-9d27-23329b8c8058,2338.85,Central America,Debit Card,2024-10-29 09:37:33,True
996,a0fd51d1-8efb-401b-bca3-3e34f0f86117,1322.96,South America,UPI,2024-08-29 03:00:46,False
1898,7f83be16-4881-48ff-9bf2-75a9f9346c79,49411.09,Sub-Saharan Africa,UPI,2023-08-11 10:39:43,False
1855,6ad823a7-9cbf-4df4-914d-e79a5c890952,627.17,Eastern Europe,Bank Transfer,2024-12-21 14:44:46,False
1023,dd726349-c945-40e2-8e5d-4898ab617238,4583.56,Eastern Europe,Online Banking,2025-02-02 17:49:30,False
740,18a51600-af5d-46f6-b101-3ac21110c36a,4197.58,Middle East,Bank Transfer,2024-05-23 20:40:59,False
223,9db64f8e-87f2-4b0c-9680-679d50206644,4135.51,Middle East,Credit Card,2023-12-05 17:22:34,False
821,9374dc66-3925-4e2a-8d1e-d7e1fb2c53fc,1871.68,Western Europe,Bank Transfer,2025-02-01 03:41:03,False
420,68a4187d-3c0c-4f6f-af27-a64f94149e8b,179.05,Central America,Credit Card,2024-12-21 02:10:00,False
1576,7f49e4ec-4918-4d45-a532-5fbee39da835,2582.9,North Africa,Bank Transfer,2025-02-03 23:05:04,True
1483,5a9e4d50-f86c-421a-8a75-da539c5c051f,4542.8,Sub-Saharan Africa,Debit Card,2023-11-09 09:37:25,True
1090,0cc9f7a0-3af3-441a-9a9e-c80db0b9644f,33.22,Oceania,Cryptocurrency,2024-07-12 12:18:52,True
370,337db331-99d1-4bab-b958-44cdba836a42,3350.39,South Asia,Debit Card,2023-11-27 18:54:54,False
148,cc6a1192-bd17-4740-a90a-4360e095c1e5,2897.89,Oceania,Mobile Wallet,2025-04-21 11:12:28,True
1255,f3a87e0a-0cab-4eb0-b3f3-6bfdffdbca12,3875.19,Caribbean,UPI,2024-10-11 03:51:36,True
563,cbb62fe4-5693-45ac-a038-87e9d20acbb6,74.22,Balkans,Bank Transfer,2023-09-26 11:48:02,False
1671,7c0b8af6-4f2f-432c-a177-97ce4a0648d8,3516.25,North Africa,Credit Card,2024-07-14 06:09:44,True
1349,661bda0e-9159-498a-879d-fb62ab7963ba,16129.51,North Africa,UPI,2024-09-01 13:56:26,True
1258,449fe973-d0cb-4b10-8d54-d1863f6e8f1e,477.97,Oceania,Bank Transfer,2025-02-13 12:03:45,False
814,373ceed1-0fd8-4d9d-9d68-6915473e04cb,25060.27,North America,Debit Card,2024-09-25 06:41:57,False
275,999081bf-025e-4a0d-a045-456bd1dc0980,333.76,Scandinavia,UPI,2024-03-26 07:11:27,False
675,8bbae08e-1c70-4eb6-8f8a-f7130cc3ac5b,36219.55,South America,Debit Card,2024-04-17 18:31:11,False
1748,0a0d30a3-7e57-4808-912e-5e8a05a6f8a8,2190.11,North Africa,Mobile Wallet,2024-06-12 17:27:28,True
2,ce20e011-610e-4d17-8259-a4a81468b0c4,2180.05,Sub-Saharan Africa,Mobile Wallet,2023-12-13 10:19:50,True
1794,ab838c86-c8e6-44a8-9df6-94234c0f1b5c,1693.91,North America,Credit Card,2023-10-14 18:34:58,False
1299,66eb2355-ce0a-4c22-812a-1487f8eed9aa,705.27,Antarctica,Debit Card,2024-03-28 09:08:48,False
319,bd16be9a-d098-422f-9b40-c2443ca5d4ac,507.85,Oceania,Credit Card,2023-11-13 08:38:02,False
1361,68915bf2-1a75-4471-8884-3bfa5fa78cd7,2532.45,Western Europe,Cryptocurrency,2024-06-09 00:21:26,True
1409,c4651a0d-991a-485a-b486-930bbf070667,506.82,Antarctica,Cryptocurrency,2024-03-15 03:00:32,False
1968,e187ede3-0a8c-4b9b-862c-7b6355366263,462.23,Middle East,Credit Card,2024-02-14 10:23:12,False
1730,b9c43792-e288-406b-8ff5-0e78c9cc15a7,3343.31,Sub-Saharan Africa,Cryptocurrency,2025-04-24 05:38:52,True
1349,e86192a9-c346-43e4-9e9b-ac515edce3ca,12100.6,Caribbean,Debit Card,2023-08-23 06:57:52,False
1708,070e256b-9bff-4155-8b7f-97fff8ded4b0,3081.26,Eastern Europe,Credit Card,2025-02-06 10:30:43,False
1870,aca000a8-4d96-4b92-9327-03a899af613a,2842.02,North America,Cryptocurrency,2025-06-04 04:52:41,False
1659,16ecc6d9-e9c9-4b7a-af9d-887fd7f02c50,3003.54,Central America,UPI,2023-08-28 20:35:21,False
705,bb337b21-7796-4522-8c74-e3269ff15d93,4284.39,East Asia,Debit Card,2024-05-31 09:32:48,False
1297,b27f54e8-39fd-45cd-a1cf-1e7f975a464a,885.58,East Asia,Online Banking,2025-03-07 08:18:07,False
201,b4025d99-dfbd-49ba-b502-b5811e085f72,2678.49,Central Asia,Online Banking,2025-07-03 14:45:11,False
722,422d0164-d14e-4600-a5a1-1dd48a8f2b2d,263.85,Oceania,Bank Transfer,2024-12-17 09:42:15,False
69,6a32509c-2eeb-4d03-a07a-8a555337572a,21365.44,Middle East,Cryptocurrency,2024-10-14 01:22:19,True
671,864fccaf-903a-48ab-879c-24dd125c99fe,3754.4,North Africa,Online Banking,2024-09-19 15:43:42,False
101,68019c84-8741-4572-92d4-15a63a8c8fea,25182.58,Central Asia,Debit Card,2024-08-21 13:34:15,False
669,57478219-f5cb-49ef-8973-38d1eeb89327,799.1,Balkans,Cryptocurrency,2025-06-12 19:35:36,False
1524,45627ca2-3d99-430c-84b3-9bc130a14075,3262.22,Central America,Credit Card,2023-11-21 13:42:40,False
563,bad9f2bd-e0d3-46bd-a9e7-d60e8a7197dd,2566.1,East Asia,UPI,2025-04-17 07:18:00,False
96,615a6559-ecb0-470e-8393-d54bd5eaa7b9,3025.69,Central America,Mobile Wallet,2024-03-17 13:42:24,True
99,b78cbab9-f2c7-4f61-bd74-c13b76554bb1,3236.46,Southeast Asia,Bank Transfer,2025-01-02 21:34:30,False
482,a9794be2-8c01-41b7-bf7f-c9bb3f77bc7b,228.42,South Asia,Credit Card,2024-09-29 06:21:08,False
1456,8aaedcc7-1cc5-47c5-8f8a-36c62e98ccf7,4471.12,Scandinavia,Mobile Wallet,2023-08-16 13:39:33,False
1572,154fd53e-aa42-498c-8400-14d295c86ede,4922.78,Oceania,Cryptocurrency,2024-06-11 12:15:08,False
145,3fa8094c-6c4c-4c8f-8191-528f60d105cd,1722.51,North America,Credit Card,2024-10-16 20:58:44,False
1968,1c9e1d57-0358-4d57-b6f8-d652e3b01c78,1410.48,Antarctica,Mobile Wallet,2023-10-11 07:39:52,True
1760,3c53a105-4660-4c3e-a8d8-c1fbbd154b8f,277.41,Scandinavia,Bank Transfer,2024-08-13 07:47:06,False
65,4074aeb3-be57-4506-8f40-80b4ec74f13d,4949.25,North America,UPI,2025-02-18 21:07:14,False
1057,bd7d0f7e-ee3d-4a05-9511-e6a2f1b6e8c0,2194.05,North America,Credit Card,2025-03-06 12:27:31,True
1688,8cd406d5-af7f-44c8-81eb-ad84ba5ac0ad,2640.36,Southeast Asia,Cryptocurrency,2023-08-18 00:30:37,True
212,7436d774-3e0f-4129-9af3-71cd50a7fb48,2074.89,North Africa,Mobile Wallet,2024-03-06 01:13:58,True
365,2f793bb5-10fb-4ca0-a4cd-af9d13f60f62,25683.74,Western Europe,Credit Card,2024-03-16 23:53:42,False
1521,3b61da7c-c4ec-4140-8c88-b82da72a7ea4,2851.49,Antarctica,Cryptocurrency,2023-10-30 06:01:44,True
1627,7565e233-a648-40bf-9303-c3db37d84027,1433.78,Oceania,Online Banking,2025-05-16 16:25:22,False
1065,10c1c33c-befb-4d62-b52b-2da4a01b205a,4674.43,Antarctica,Credit Card,2024-11-07 07:55:30,True
1055,a01a7c8e-2045-4db3-8306-2e90e84d7792,254.87,Central America,Credit Card,2025-05-16 10:15:46,False
549,5b156e27-06a7-4bda-aea9-d2f4d888e652,1776.41,Baltic States,Cryptocurrency,2024-09-09 07:33:24,True
1908,8a6cf3e9-2125-4a7c-ae44-dfca382db44f,935.98,Southeast Asia,Mobile Wallet,2025-03-14 20:44:49,True
1652,130d9db7-aae5-48e8-8911-242ed88cc16e,3734.57,Scandinavia,Online Banking,2024-02-15 06:27:59,False
239,26c5b5d1-83f3-4cf1-9cf9-9ebb1cf0a4a6,37274.94,South Asia,Credit Card,2023-11-26 05:34:10,False
1087,9d32d06b-8fc8-46b5-8085-e57f28e1aa33,2491.43,Caribbean,UPI,2024-04-01 06:04:29,False
1352,9dbb860e-75ce-45f5-bf43-11f8200e8305,3012.22,Caribbean,UPI,2023-11-26 20:46:27,False
298,88ba8dea-2adb-4029-8b2e-7d18e011c85f,34230.18,Caribbean,Credit Card,2025-04-24 21:32:32,False
1304,ff606fd8-c26f-4091-9cd6-3f67c8d7a977,2809.94,Eastern Europe,Credit Card,2024-08-02 17:43:52,False
1569,e4592ae2-f5b9-49d8-803c-d5f66439ccf7,128.87,Oceania,Cryptocurrency,2023-09-06 22:52:11,False
1524,f4217f6f-8296-4809-9f19-77233772d95b,1266.07,North Africa,UPI,2024-11-27 22:41:05,False
772,e077e90c-74da-4163-b96c-25f6663d1dbc,1452.49,Central America,Cryptocurrency,2025-02-24 21:19:42,False
1541,dfea820b-3197-4bed-86da-39ae57678960,3028.68,Balkans,Bank Transfer,2023-10-12 12:13:36,False
1707,4c205e57-4a94-4a90-aa0e-9e097347d875,779.41,Central Asia,UPI,2025-03-29 10:41:12,False
431,91a7cd73-824b-4350-bcce-7a4b4fcc50d4,3985.7,Southeast Asia,Debit Card,2024-04-05 03:47:19,False
705,c7f6ce6d-0de0-48eb-86b5-d271590cc6d0,4555.75,Caribbean,Online Banking,2025-02-05 20:23:46,False
213,eb7bc21a-8c68-4147-81d3-ab328f544bbf,2266.16,Middle East,Online Banking,2023-10-12 01:48:06,True
635,492abfd2-060e-47b5-acdb-108b801fc2ca,4329.9,Central America,Debit Card,2023-09-03 02:52:46,True
412,fbe97049-9bb3-4e72-b23a-66e87ce9c2c0,309.41,Antarctica,Bank Transfer,2024-12-11 19:36:14,False
232,7e396bfd-4ea0-4f1d-9837-d99f86d18c83,142.17,Caribbean,Mobile Wallet,2025-04-13 13:15:41,False
2,280671bb-37b5-47a8-862d-435bcc53a86a,46037.52,Middle East,Cryptocurrency,2025-02-22 01:23:40,True
1689,52d4c732-3627-47a3-85b9-24ab6ae9cb63,1473.61,Western Europe,Debit Card,2024-07-10 07:09:12,False
1367,e327118f-986c-481c-a011-5013e2f71cf4,4727.04,South Asia,UPI,2024-01-07 04:05:17,False
454,6e555a1b-789f-451b-a656-d665d4fb4a92,2088.05,Antarctica,Credit Card,2025-05-15 00:37:35,False
1328,68854676-afd7-46d5-b48b-2851ffb31c5b,2489.15,Western Europe,Credit Card,2024-12-03 04:07:06,True
381,1ee2f5ec-25f7-4814-8096-ebf9e5476ddc,2015.76,Baltic States,Mobile Wallet,2023-10-15 11:52:27,True
1476,a6634d2c-3bc7-4b6b-a157-218f05f72a8a,1568.49,North America,UPI,2024-06-29 11:27:45,False
1114,5dd7b46b-762a-4143-a76e-d362fc4cb9cb,1580.76,Western Europe,Debit Card,2025-02-14 09:05:47,False
635,36f590f8-13f9-4e8c-8659-6c3b1af038bf,49240.83,Central America,Cryptocurrency,2024-02-15 11:22:53,True
720,96e930b2-34d9-488f-a343-40dfc6b1edb4,3171.83,Balkans,Debit Card,2023-08-06 04:17:36,True
1986,73e93505-a8d4-4cee-a732-61c5eedd7121,3316.73,Eastern Europe,Debit Card,2024-04-24 17:43:29,False
1857,59e846e0-c59d-4e43-afac-3294aeccbfc1,4625.84,Oceania,Cryptocurrency,2024-12-07 04:23:51,True
1402,d7fad811-fbd0-42e6-83b9-0253a8e60330,2819.32,Antarctica,Online Banking,2023-09-27 21:28:39,False
489,da0b7a84-1c62-4865-83a9-1a978265c192,3715.37,Scandinavia,Mobile Wallet,2025-07-27 07:41:41,False
1462,b13afb82-bcd9-42de-9921-1e84992661c1,48545.49,Eastern Europe,Bank Transfer,2023-09-20 06:09:11,False
336,f32c5e1c-abfd-48e6-8636-3308a74eefb7,4069.65,South America,Debit Card,2025-05-08 22:50:45,False
1784,5f36f1ad-10fc-4052-9665-ae94d89f934a,4296.87,Central America,Bank Transfer,2024-11-22 02:53:48,False
425,6d1ab72f-2ea1-48cf-ab64-34975f5c8c12,1025.98,Oceania,Cryptocurrency,2024-11-03 02:11:38,False
471,d29b37ca-3fe0-43ad-9d2c-3d8f21c8e0c2,4530.94,Central Asia,Debit Card,2024-01-30 00:56:38,True
1764,a2597c9d-af91-476d-a7d4-b5467b5262e1,1245.52,Southeast Asia,UPI,2025-01-30 07:05:40,False
1854,28331153-c7c2-4184-b4b5-63c28fb64e9e,3922.33,East Asia,Credit Card,2024-05-28 01:32:29,False
1983,48a79856-c109-4168-8fa2-762d16928963,4855.59,Southeast Asia,Bank Transfer,2024-01-29 21:55:04,True
897,a20d6760-b1e3-42fc-bece-c4ea856340fe,25968.81,Southeast Asia,Bank Transfer,2024-07-17 06:44:54,True
177,98a2d973-5091-4c06-858d-488eddfed4e2,4783.72,Western Europe,Online Banking,2024-04-23 06:33:44,True
1847,df68ea6e-abfe-4dbb-a5db-de83ce1c4242,1171.5,South Asia,Mobile Wallet,2024-07-05 06:13:08,False
1864,444aff6b-541c-4f64-b4c5-a76e672371ab,9491.06,South America,Cryptocurrency,2025-03-12 23:46:18,True
1199,5018a4d0-0bd9-4559-9f54-5f506f90f997,3500.79,East Asia,Credit Card,2024-02-01 09:13:15,False
1585,08aa1691-71de-45a6-b981-467adac104ed,2630.99,North Africa,Online Banking,2024-01-18 14:40:52,False
303,3718146f-23e1-4c61-9d00-1c07cd688080,588.7,Antarctica,Cryptocurrency,2023-10-03 06:14:02,False
1480,e02bfc6b-b689-42f3-8689-8a8063f1c580,6268.58,Caribbean,Bank Transfer,2024-09-19 12:50:22,False
1508,627b8b2e-9b24-4f4d-8ad5-f7538fab4f6d,2766.24,Scandinavia,Mobile Wallet,2024-04-05 08:11:08,True
506,1cd5b694-8376-4330-b50d-ef0cac5e6b3a,1960.82,Middle East,Debit Card,2024-07-18 21:28:02,False
551,7c138ea1-342e-4eaa-8bd7-b1dbfdafa4dc,2109.47,South Asia,Online Banking,2024-02-29 07:33:18,False
273,fe0aacd3-bdf9-464b-a7cd-a6bda501444f,3734.4,South America,Bank Transfer,2025-04-24 03:34:56,True
592,0c679dab-f4da-451c-9cfe-2752eb3b963c,1718.48,Scandinavia,Credit Card,2024-08-22 05:52:16,False
894,c8161466-9aea-448a-8d2d-f09f7d7d1f3e,2923.09,Oceania,UPI,2025-03-22 11:06:15,False
973,d3ca1953-ae89-4fc9-bc66-a7a271af69e0,64.14,Baltic States,Bank Transfer,2025-06-16 14:59:07,False
1723,d2f894bd-76b6-445c-8db7-60dd38d0d8c9,158.54,Central Asia,Debit Card,2024-02-26 02:58:07,False
1911,2678c769-9e28-4039-9f21-48b258226220,18437.93,Caribbean,Cryptocurrency,2023-10-09 23:10:28,True
354,3d0140e1-087b-47a4-a936-a2ce2a4a1864,3958.28,Middle East,Mobile Wallet,2025-04-27 01:29:25,True
1532,4fad11ce-c198-41b6-a26d-7d3a5980b5a7,42571.64,East Asia,Mobile Wallet,2024-03-19 04:08:10,True
1349,c3e08996-f13b-4d7e-a9fa-8f69718aab83,4573.39,North America,Online Banking,2025-06-28 01:57:12,False
1120,4af76699-2be1-4965-924c-2a994bff012e,3088.3,Middle East,Cryptocurrency,2025-02-05 12:40:28,True
477,2ab4fce7-6d9c-4a70-92bb-fdc7acff0d9a,3649.12,Caribbean,UPI,2024-09-02 09:25:47,False
1606,22987919-e7af-47af-ae4e-3f536f1be029,238.71,Balkans,Mobile Wallet,2024-07-26 00:20:13,False
988,5492016f-b342-4340-a530-2b172c66d6d2,2582.29,Eastern Europe,Credit Card,2024-01-24 11:09:17,False
416,ce51a152-4aff-4def-b83e-14dee2216725,27.93,Baltic States,Debit Card,2024-11-08 04:49:08,False
599,5daf436d-a855-43f5-8544-f50462071063,3111.53,Baltic States,Credit Card,2024-04-15 19:26:44,False
763,1c461b66-6975-44c1-8b35-5244ade6b229,2877.27,North America,Debit Card,2024-07-30 19:06:27,False
43,6a0f6a1f-8d89-489d-a9ea-52f0a53b04cf,1304.81,North Africa,Bank Transfer,2023-11-05 05:13:35,False
1755,9e1af4bc-ff59-46ee-806b-823a169fa959,208.96,Antarctica,Mobile Wallet,2023-12-24 15:26:28,True
1246,2affc74c-f011-4172-8ea2-42b8e2c7106b,1729.82,Balkans,Debit Card,2023-11-18 22:06:39,False
1689,ab075a9d-7bfc-4d44-b3c0-1c9febac1dcb,18.64,Balkans,Bank Transfer,2025-07-10 11:45:33,False
95,b2d29de5-f3cf-4a9d-9961-96408819e40e,540.61,Central America,Debit Card,2025-05-03 16:42:26,False
1469,00c4af36-9ffe-4e5c-9569-fcd1be980172,1080.09,East Asia,Online Banking,2023-08-02 08:55:57,False
392,c642a49f-a942-4d2e-85c7-88c5a6b7550d,867.21,Caribbean,Online Banking,2024-07-26 19:07:07,False
1942,66288e33-a5dd-44f2-bdc0-b27dfed24bf9,1781.19,North Africa,Bank Transfer,2025-02-27 16:26:17,False
1940,86c62e43-6188-467d-bbc7-7754a6dc3a42,592.24,East Asia,Debit Card,2024-07-29 10:51:46,False
1059,0d1f6f9f-8c67-486f-9db2-c1673d597d3b,2249.29,North America,UPI,2024-04-24 01:25:47,False
446,e1383618-84c6-4fbc-8cf1-05519636c2fd,31.35,Oceania,Debit Card,2024-07-24 06:06:25,False
1968,b28cda94-79b5-4900-95d6-4fa07403ea9c,4755.75,Eastern Europe,Bank Transfer,2025-05-22 08:57:28,False
547,a5275816-6938-4c6f-9af6-3b5a0cada09b,48328.92,North America,Online Banking,2023-10-16 15:46:32,True
1947,4079bcb2-304a-497a-a84c-0d91f983a8f8,4895.56,Baltic States,UPI,2023-11-16 15:10:16,False
1211,8e3dcd3a-3864-4970-a265-576a686c04e5,1892.92,Central Asia,Cryptocurrency,2024-05-15 14:02:18,True
1292,e245cfbc-6b31-461d-b685-ce6d2a3d0466,4302.8,Western Europe,Debit Card,2024-01-07 09:22:36,False
1052,2ed5568c-3694-4ef0-85ff-260a37156cc4,1092.1,Southeast Asia,Debit Card,2024-03-11 03:17:32,False
924,8ab4428b-63c4-46e6-aef5-39a4b1a97d34,2702.9,Antarctica,Mobile Wallet,2023-09-06 19:59:40,False
1543,0da2cb1a-7e12-40f7-8347-e4180fc90f83,4190.46,Eastern Europe,Bank Transfer,2024-04-13 12:35:58,False
319,6d939a59-1b86-4b9e-9c96-a5310e5f85d6,2850.48,South America,Mobile Wallet,2024-06-24 16:09:23,True
321,b1d69fc4-d344-4b51-b1a3-2d0e46dbd2fa,1253.91,South Asia,Cryptocurrency,2025-02-13 20:45:09,False
1575,4caa5b1b-bc00-427f-8a58-1cb14d932bc1,1989.5,South Asia,Online Banking,2024-04-06 11:47:13,False
1459,f8c1b102-f026-45cc-b77d-e45ba29ae73c,1710.04,North America,Bank Transfer,2023-08-27 00:32:53,False
1918,788a9909-de77-4e17-a833-1701c927094e,4629.91,Oceania,Online Banking,2024-03-23 17:51:08,False
498,b5964aac-b103-456a-b17b-989bdcb2089e,3970.99,South Asia,Bank Transfer,2023-10-02 06:38:26,False
447,6adac175-d764-417a-bf37-a81e2d72061e,4959.9,Sub-Saharan Africa,Online Banking,2025-02-21 21:33:35,True
1533,de26cf3e-1419-4f9e-a023-e650bb75fdf3,2133.85,Oceania,Cryptocurrency,2024-04-22 21:34:28,True
732,dedf608c-5c5e-4276-a555-3e223758ae05,4788.43,East Asia,Online Banking,2025-05-10 03:28:14,False
1019,7fe51c3d-d311-4dd1-b2a4-0350b4ac6e92,3622.24,Middle East,Debit Card,2024-05-30 20:23:07,False
1516,46fe6cfe-6fb5-4a07-9bf6-76835b47c3c7,1490.03,Antarctica,Mobile Wallet,2024-09-18 20:09:30,True
1436,b29a27b6-1bc4-4264-8e0e-e8b8c06f61df,3461.39,Sub-Saharan Africa,Online Banking,2024-09-27 22:57:07,True
983,7984363a-d949-41bd-8b36-28d528b2f388,201.94,North America,Debit Card,2024-07-02 20:41:02,False
1168,e3c9b87b-17cc-4e0c-a610-71f9b4f14c36,4222.41,Balkans,UPI,2024-09-28 20:43:17,True
1042,7b20b83b-4472-4958-9ef3-c93c7348c85d,807.45,Scandinavia,UPI,2024-08-22 07:47:46,False
1180,64679655-5163-4071-8fe4-0209783859dc,1650.17,East Asia,Debit Card,2025-03-11 00:04:56,False
878,f3d4ece6-7d6e-4ace-94b0-99e9532cb06a,1314.36,Baltic States,Mobile Wallet,2024-06-14 11:42:21,True
731,d2fed960-21e3-4771-a715-90ffdefe9bdf,808.56,Balkans,Credit Card,2024-12-21 06:55:58,False
567,1cc46913-ed6f-4cbe-bb40-98ffde7525ba,4779.33,South America,Credit Card,2023-10-20 08:46:15,False
1998,5212947c-b61a-4086-a0ab-bef99581bf55,2857.38,Central Asia,Online Banking,2025-03-03 19:10:08,True
1767,b691dbab-e97d-45a4-b459-566f9a3c4943,4292.53,North Africa,Mobile Wallet,2025-03-18 13:25:08,True
1822,04fe8203-a72b-4db5-8ee1-f7828d08c59c,3111.34,Scandinavia,UPI,2025-05-24 16:43:53,False
1896,eb441a4c-f517-40c5-bb34-08c277f6fe73,3659.53,South America,Cryptocurrency,2025-01-23 17:56:51,True
663,687d5e8a-f748-4685-b1cb-a1646cbea500,2082.49,Central America,Bank Transfer,2024-02-23 11:08:39,False
1509,9751e0cf-e47a-4600-99d8-500974a01625,3097.18,East Asia,Cryptocurrency,2025-03-03 13:26:43,True
708,b9bb801c-09af-4338-9474-b64d52ea299d,2422.9,Central America,Online Banking,2023-11-10 11:29:45,False
1392,3e41f12e-4249-495c-b9db-b4fc1e37773d,1755.41,Scandinavia,Credit Card,2025-05-05 17:41:28,False
1029,14fc1d04-ad49-4f3f-9b02-61c51a660ce0,403.9,South Asia,Online Banking,2025-07-02 05:13:01,False
93,78a9ee4b-e228-4e20-a055-bfb87ea713d6,4366.16,South Asia,Mobile Wallet,2024-08-11 15:36:45,False
1838,0d17e031-60f6-4562-8300-c6e0e79c4dd8,336.67,South Asia,Bank Transfer,2023-12-19 19:35:03,False
89,ad5171e5-8703-4a53-ace5-aa86c8e70c21,4376.17,Scandinavia,Credit Card,2025-05-07 11:48:06,True
1928,b4f50d60-e328-41a8-8345-8cf0447cf0f6,4937.69,North America,UPI,2024-12-13 01:54:23,False
401,692eb4e5-8048-49c7-8d02-c1b6b20bdc03,43331.26,Baltic States,Cryptocurrency,2025-04-08 16:54:44,True
